"Atlanta Georgia, USA","""#MyCurrentSituation: Atlanta""",2016
"Sydney, Australia","""$2 Donuts""",2017
"Tennessee, USA","""$5 Cover""",2009
"England, UK","""' Horse Trials '""",2011
"""+27: Social Innovators of South Africa"" (2014)","Cape Town, South Africa"
"Toyama, Japan","""1 chan KNB""",2007
"Paris, France","""1,000 Places to See Before You Die""",2007
"Burgas, Bulgaria","""1-2-3 Istanbul!""",2009
"Berlin, Germany","""1-2-3 Moskau!""",2008
"Washington, USA","""10 Things I Hate""",2012
"Blankenberge, Belgium","""10 om te zien""",1989
"California, USA","""10-8: Officers on Duty""",2003
"Tokyo, Japan","""100 Nen Interview""",2007
"Lisbon, Portugal","""1001 Tardes""",1995
"Wellington, New Zealand","""101 Dates""",2010
"Athens, Greece","""10i entoli""",2004
"Auckland, New Zealand","""111 Emergency""",2011
"North Rhine-Westphalia, Germany","""112 - Sie retten dein Leben""",2008
"Osaka, Japan","""11pm""",1965
"Prague, Czech Republic","""12 Monkeys""",2015
"Budapest, Hungary","""12 Monkeys""",2015
"Louisiana, USA","""13: Fear Is Real""",2009
"Havana, Cuba","""15 Films About Madonna""",2006
"Bremen, Germany","""16 x Deutschland - Menschen - Orte - Geschichten""",2013
"Laeken, Belgium","""16+""",2005
"Bucharest, Romania","""17 - o poveste despre destin""",2008
"Pirque, Chile","""1810""",2009
"Lillehammer, Norway","""1994 Olympic Winter Games""",1994
"New York, USA","""2 gars 30 jours""",2017
"Diest, Belgium","""2 straten verder""",1999
"Nador, Morocco","""2 x 2""",2013
"Istanbul, Turkey","""20 Dakika""",2013
"Skopje, Macedonia","""20 Years of Independence""",2011
"Beijing, China","""200 Million Years Old Classmate""",2017
"Baghdad, Iraq","""2004 World Series""",2004
"Moscow, Russia","""2005 World Figure Skating Championships""",2005
"Guatemala City, Guatemala","""2012 the Webseries""",2011
"Tbilisi, Georgia","""2030""",2015
"Kagawa, Japan","""24 no hitomi""",1964
"Arizona, USA","""26 Men""",1957
"Baku, Azerbaijan","""3 Rooms""",2014
"Massachusetts, USA","""3 by Cheever""",1979
"Utah, USA","""3.2 Percent""",2004
"Michigan, USA","""30 Minutes of Madness""",2014
"Nuku Hiva, French Polynesia","""37 Grad""",1994
"Johannesburg, South Africa","""37 Honey Street""",1998
"Budva, Montenegro","""3K Check In""",2002
"Metro Manila, Philippines","""3R","Respect, Relax, Respond"
"Toscana, Italy","""4-Stjerners Reise""",2010
"Santiago, Chile","""40 y tantos""",2010
"Melbourne, Australia","""42 Geek Street""",2014
"Ngele'ia, Tonga","""48 Hours""",1988
"Hawaii, USA","""48 Hours""",1988
"Porto, Portugal","""4Play""",2017
"Dublin, Ireland","""5 Cents & the Boyz""",2015
"Hamburg, Germany","""50 Euro Star Style""",2012
"Guantanamo Bay, Cuba","""60 Minutes""",1968
"Barcelona, Spain","""60 Minutes""",1968
"Beirut, Lebanon","""60 Minutes""",1968
"Turangi, New Zealand","""60 Minutes""",1993
"Manila, Philippines","""700 Club Asia the Margareth Binalla Story""",2016
"Steiermark, Austria","""8x45 - Austria Mystery""",2006
"Lower Austria, Austria","""8x45 - Austria Mystery""",2006
"Lyon, France","""9 jours""",2014
"Texas, USA","""9-1-1: What's Your Emergency?""",2018
"Gauteng Province, South Africa","""90 Plein Street""",2007
"Santo Domingo, Dominican Republic","""9x9 Roberto""",1988
"Salvador da Bahia, Brazil","""A Cook's Tour""",2002
"Zacatecas, Mexico","""A Cruz y a espada""",1992
"Gerez, Portugal","""A Floresta Portuguesa""",1983
"Western Australia, Australia","""A Fortunate Life""",1985
"Vila Flor, Portugal","""A Outra""",2008
"Crete, Greece","""A Place in Greece""",2004
"Fiji Islands, Fiji","""A Place in the Sun""",2011
"Venda do Pinheiro, Portugal","""A Quinta""",2015
"Campo Maior, Portugal","""A Raia dos Medos""",2000
"St. Thomas, U.S. Virgin Islands","""A Woman Named Jackie""",1991
"Tuscany, Italy","""A Year in Tuscany""",2003
"Mexico City, Mexico","""A que no me dejas""",2015
"Taipei City, Taiwan","""A-Po de hsia ling ying""",2013
"Lahore, Pakistan","""ABC Close-Up!""",1960
"Virginia, USA","""ABC News Nightline""",1980
"Antigua, Antigua and Barbuda","""ABC News Nightline: Betting Without Borders""",1998
"Jakarta, Indonesia","""ABC's Wide World of Sports""",1961
"Oslo, Norway","""AF1",Alle for en
"Kentucky, USA","""AHA""",2014
"Vienna, Austria","""ARGE Talkshow""",2011
"Islamabad, Pakistan","""Aag""",2014
"Kotka, Finland","""Aallonmurtaja""",2017
"Yerevan, Armenia","""Abel's Sister""",2016
"Mecklenburg-Western Pomerania, Germany","""Abenteuer 1927 - Sommerfrische""",2005
"Ouarzazate, Morocco","""Abraham""",1993
"Sofia, Bulgaria","""Absentia""",2017
"Marrakech, Morocco","""Absolutely Fabulous""",1992
"Copenhagen, Denmark","""Absurdistan""",2013
"Distrito Federal, Mexico","""Acceso Exclusivo: Pumas""",2012
"Dubai, United Arab Emirates","""Access: Middle East""",2012
"Ramat Gan, Israel","""Achat Efes Efes""",2011
"Bayern, Germany","""Acht Tage""",2018
"Helsinki, Finland","""Act!one""",2004
